@@,name,position
---,Scott Morrison,Prime Minister of Australia
+++,Zed Seselja,Minister for International Development and the Pacific
+++,Trevor Evans,Assistant Minister for Waste Reduction and Environmental Management
+++,Sussan Ley,Minister for the Environment
+++,Stuart Robert,"Minister for Employment, Workforce, Skills, Small and Family Business"
+++,Simon Birmingham,Minister for Finance
+++,Scott Morrison,Prime Minister
+++,Scott Morrison,Minister for the Public Service
+++,Scott Buchholz,Assistant Minister for Road Safety and Freight Transport
+++,Richard Colbeck,Minister for Senior Australians and Aged Care Services
+++,Richard Colbeck,Minister for Sport
+++,Peter Dutton,Minister for Defence
+++,Paul Fletcher,"Minister for Communications, Urban Infrastructure, Cities and the Arts"
+++,Nola Marino,Assistant Minister for Regional Development and Territories
+++,Michelle Landry,"Assistant Minister for Children and Families, Assistant Minister for Regional Tourism"
+++,Michaelia Cash,Minister for Industrial Relations
+++,Michaelia Cash,Attorney-General
+++,Michael Sukkar,"Minister for Homelessness, Social and Community Housing"
+++,Michael Sukkar,Assistant Treasurer
+++,Melissa Price,Minister for Defence Industry
+++,Marise Payne,Minister for Foreign Affairs
+++,Marise Payne,Minister for Women
+++,Luke Howarth,Assistant Minister for Youth and Employment Services
+++,Linda Reynolds,Minister for the National Disability Insurance Scheme
+++,Linda Reynolds,Minister for Government Services
+++,Kevin Hogan,"Assistant Minister to the Deputy Prime Minister, Assistant Minister for Local Government"
+++,Ken Wyatt,Minister for Indigenous Australians
+++,Keith Pitt,Minister for Resources and Water
+++,Jonathon Duniam,"Assistant Minister for Forestry and Fisheries, Assistant Minister for Industry Development"
+++,Jason Wood,"Assistant Minister for Customs, Community Safety and Multicultural Affairs"
+++,Jane Hume,Minister for Women's Economic Security
+++,Jane Hume,"Minister for Superannuation, Financial Services and the Digital Economy"
+++,David Gillespie,"Minister Assisting the Minister for Trade and Investment, Deputy Leader of the House"
+++,David Gillespie,Minister for Regional Health
+++,David Coleman,Assistant Minister to the Prime Minister for Mental Health and Suicide Prevention
+++,Dan Tehan,"Minister for Trade, Tourism and Investment"
+++,Christian Porter,"Minister for Industry, Science and Technology"
+++,Bridget McKenzie,"Minister for Regionalisation, Regional Communications and Regional Education"
+++,Bridget McKenzie,Minister for Emergency Management and National Recovery and Resilience
+++,Ben Morton,"Assistant Minister to the Prime Minister and Cabinet, Assistant Minister to the Minister for the Public Service, Assistant Minister for Electoral Matters"
+++,Barnaby Joyce,Deputy Prime Minister
+++,Barnaby Joyce,"Minister for Infrastructure, Transport and Regional Development"
+++,Anne Ruston,Minister for Families and Social Services
+++,Anne Ruston,Minister for Women's Safety
+++,Angus Taylor,Minister for Energy and Emissions Reduction
+++,Andrew Hastie,Assistant Minister for Defence
+++,Andrew Gee,Minister for Veteransâ€™ Affairs
+++,Andrew Gee,Minister for Defence Personnel
+++,Amanda Stoker,"Assistant Minister for Women, Assistant Minister to the Attorney-General, Assistant Minister for Industrial Relations"
+++,Alex Hawke,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
+++,Alan Tudge,Minister for Education and Youth
